variant,smoothing,prior,val_acc,val_f1_macro,val_f1_weighted,val_roc_auc,val_precision_macro,val_recall_macro
B_power_transform,0.001,empirical,0.9668874172185431,0.9655266882790741,0.9670234901124899,0.9959469417833456,0.962123957955781,0.969786293294031
B_power_transform,0.001,uniform,0.9668874172185431,0.96570831630104,0.9670979709538114,0.9959469417833456,0.9609375,0.9728260869565217
F_winsor+power,0.001,empirical,0.9602649006622517,0.9585164835164834,0.9603777017684303,0.9953942520265291,0.9561020036429873,0.9613117170228445
B_power_transform,1e-09,uniform,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9959469417833455,0.9473778735632183,0.9589167280766397
B_power_transform,1e-06,empirical,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022844,0.9473778735632183,0.9589167280766397
B_power_transform,1e-06,uniform,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022844,0.9473778735632183,0.9589167280766397
F_winsor+power,1e-09,uniform,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022845,0.9473778735632183,0.9589167280766397
B_power_transform,1e-09,empirical,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9959469417833455,0.9473778735632183,0.9589167280766397
F_winsor+power,1e-06,empirical,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022845,0.9473778735632183,0.9589167280766397
F_winsor+power,0.001,uniform,0.9536423841059603,0.9517373635907036,0.9538328861574858,0.9953942520265291,0.9484414642986589,0.9558769344141489
F_winsor+power,1e-06,uniform,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022845,0.9473778735632183,0.9589167280766397
F_winsor+power,1e-09,empirical,0.9536423841059603,0.9519916428214561,0.9539371593353361,0.9961311717022845,0.9473778735632183,0.9589167280766397
A_vanilla,0.001,uniform,0.9403973509933775,0.9379480389023332,0.940642282202482,0.9913411938098747,0.9347589706415368,0.9419675755342668
E_winsorize,0.001,uniform,0.9403973509933775,0.9379480389023332,0.940642282202482,0.991156963890936,0.9347589706415368,0.9419675755342668
A_vanilla,0.001,empirical,0.9403973509933775,0.9379480389023332,0.940642282202482,0.9913411938098747,0.9347589706415368,0.9419675755342668
E_winsorize,1e-09,uniform,0.9337748344370861,0.9315875317143891,0.9342609017087964,0.9812085482682388,0.9268336314847943,0.9395725865880619
E_winsorize,0.001,empirical,0.9337748344370861,0.9308608058608059,0.9339628362807171,0.991156963890936,0.9285974499089253,0.9334929992630803
A_vanilla,1e-09,uniform,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9926308032424466,0.9202586206896552,0.9310980103168754
A_vanilla,1e-06,empirical,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9926308032424466,0.9202586206896552,0.9310980103168754
A_vanilla,1e-09,empirical,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9926308032424466,0.9202586206896552,0.9310980103168754
E_winsorize,1e-09,empirical,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9812085482682388,0.9202586206896552,0.9310980103168754
E_winsorize,1e-06,empirical,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9812085482682388,0.9202586206896552,0.9310980103168754
G_winsor+power+remove,0.001,empirical,0.9271523178807947,0.9252643419572554,0.927860308852122,0.9850773765659542,0.9204464918497519,0.937177597641857
A_vanilla,1e-06,uniform,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9926308032424466,0.9202586206896552,0.9310980103168754
E_winsorize,1e-06,uniform,0.9271523178807947,0.9245582958622882,0.9276155360983851,0.9812085482682388,0.9202586206896552,0.9310980103168754
E_winsorize,0.1,uniform,0.9205298013245033,0.9142045454545455,0.9192956050571945,0.9747605011053795,0.9303921568627451,0.9043846720707442
A_vanilla,0.1,empirical,0.9205298013245033,0.9142045454545455,0.9192956050571945,0.9751289609432572,0.9303921568627451,0.9043846720707442
A_vanilla,0.1,uniform,0.9205298013245033,0.9142045454545455,0.9192956050571945,0.9751289609432572,0.9303921568627451,0.9043846720707442
D_power+remove,0.001,empirical,0.9205298013245033,0.9182900432900432,0.9212465238955305,0.9836035372144436,0.9134683724235964,0.9287030213706706
E_winsorize,0.1,empirical,0.9205298013245033,0.9142045454545455,0.9192956050571945,0.9747605011053795,0.9303921568627451,0.9043846720707442
D_power+remove,0.001,uniform,0.9139072847682119,0.9120401487655151,0.9148408527695603,0.9836035372144436,0.9081128747795415,0.9263080324244657
G_winsor+power+remove,0.001,uniform,0.9139072847682119,0.9120401487655151,0.9148408527695603,0.9850773765659542,0.9081128747795415,0.9263080324244657
C_remove_corr,0.1,uniform,0.9139072847682119,0.907410027828876,0.9127702648038282,0.9848931466470154,0.9206487956487956,0.8989498894620487
B_power_transform,0.1,empirical,0.9139072847682119,0.907410027828876,0.9127702648038282,0.9657332350773766,0.9206487956487956,0.8989498894620487
C_remove_corr,1e-09,empirical,0.9072847682119205,0.9037340619307834,0.9077745208024224,0.9751289609432572,0.9001623376623377,0.9087140751658069
C_remove_corr,0.1,empirical,0.9072847682119205,0.8982479784366577,0.9048749576051838,0.9848931466470154,0.9268617021276595,0.8843957258658806
C_remove_corr,1e-09,uniform,0.9072847682119205,0.9037340619307834,0.9077745208024224,0.9751289609432571,0.9001623376623377,0.9087140751658069
C_remove_corr,0.001,uniform,0.9072847682119205,0.904222544400145,0.9079652623923151,0.9762343404568902,0.8998211091234347,0.9117538688282977
C_remove_corr,1e-06,empirical,0.9006622516556292,0.8971249489031203,0.9012939128614343,0.9756816507000737,0.8931393678160919,0.9032792925571113
C_remove_corr,1e-06,uniform,0.9006622516556292,0.8971249489031203,0.9012939128614343,0.9756816507000737,0.8931393678160919,0.9032792925571113
G_winsor+power+remove,1e-06,uniform,0.9006622516556292,0.8985078639602098,0.901739445503339,0.9813927781871776,0.8947971781305115,0.9123986735445837
C_remove_corr,0.001,empirical,0.9006622516556292,0.8971249489031203,0.9012939128614343,0.9762343404568902,0.8931393678160919,0.9032792925571113
F_winsor+power,0.1,uniform,0.9006622516556292,0.8976271186440679,0.9014794028510495,0.9637067059690494,0.8931372549019607,0.906319086219602
F_winsor+power,0.1,empirical,0.9006622516556292,0.8931654167256262,0.8993503055428786,0.9637067059690494,0.905982905982906,0.8850405305821666
D_power+remove,1e-09,empirical,0.9006622516556292,0.8985078639602098,0.901739445503339,0.9797347089167281,0.8947971781305115,0.9123986735445837
D_power+remove,1e-09,uniform,0.9006622516556292,0.8985078639602098,0.901739445503339,0.9797347089167281,0.8947971781305115,0.9123986735445837
G_winsor+power+remove,1e-09,empirical,0.9006622516556292,0.8985078639602098,0.901739445503339,0.9797347089167281,0.8947971781305115,0.9123986735445837
D_power+remove,1e-06,uniform,0.9006622516556292,0.8985078639602098,0.901739445503339,0.9817612380250553,0.8947971781305115,0.9123986735445837
