Class,Feature,Shapiro W,Shapiro p-value,Skewness,Kurtosis,Normal (p>=0.05)
B,radius_mean,0.9958050025165182,0.5933981792080334,-0.05471801340299595,0.1015178792902951,True
B,texture_mean,0.9433670572753349,1.9927964413042742e-09,1.0560825430447693,2.0956796180998696,False
B,perimeter_mean,0.996520413069589,0.7503142170183323,-0.008676179770409393,0.057569483718428405,True
B,area_mean,0.9885872672464909,0.01723593046322517,0.3951852782337913,0.49476274839360324,False
B,smoothness_mean,0.9913278640498527,0.07085084783394036,0.24307555476676085,-0.3387996215030773,True
B,compactness_mean,0.9350819064440353,2.725459930947422e-10,1.1047988797300956,1.7242057696721869,False
B,concavity_mean,0.714225142618462,2.012281997161714e-22,3.5596359626764515,20.290744722614306,False
B,concave points_mean,0.9364387255371591,3.920619276685729e-10,1.03495149482989,1.2918181287897763,False
B,symmetry_mean,0.9682447457775939,3.1192411371397462e-06,0.7324889677655116,1.3627204660102503,False
B,fractal_dimension_mean,0.9018669909527908,3.5830659609562887e-13,1.4860730532288715,3.5141959134731158,False
B,radius_se,0.8925545069300462,7.385388572483993e-14,1.587569065552847,4.303704742088642,False
B,texture_se,0.8956448617689493,1.2338862280402786e-13,1.6624394854395612,5.967518298896577,False
B,perimeter_se,0.9144824746168178,3.616598922965269e-12,1.2323916614984456,1.8560266946142505,False
B,area_se,0.8871214731034904,3.069332829475902e-14,1.7198946928230634,5.602782179451799,False
B,smoothness_se,0.8832640445652017,1.6749393941716517e-14,1.5266133045248613,2.9790326942481107,False
B,compactness_se,0.7585451515382593,8.234680677743141e-21,2.2911892420990747,6.121134570717208,False
B,concavity_se,0.5125822758476644,4.0091784997616225e-28,6.2125734286757535,54.24400313813014,False
B,concave points_se,0.8350247719279243,2.2984650333307735e-17,2.411506034652909,11.924586492706972,False
B,symmetry_se,0.9025910137264158,4.844666335252649e-13,1.4296363218875558,3.5421580407585944,False
B,fractal_dimension_se,0.5941534310836971,3.83213197582213e-26,4.467611482843311,27.76816734572575,False
B,radius_worst,0.9968050195882214,0.809460898740767,-0.015441111028609318,0.03946788606309948,True
B,texture_worst,0.9647445204933998,9.15038918352787e-07,0.7751399674569771,0.878811122483365,False
B,perimeter_worst,0.9968519403788794,0.816992438791291,0.025997588362004536,-0.07953506174110414,True
B,area_worst,0.9884061995712118,0.015438157804348136,0.40970105765537274,0.42756272952221064,False
B,smoothness_worst,0.9952634134265411,0.47776634642954363,0.0750092923092089,-0.24093101104404546,True
B,compactness_worst,0.9267806144260725,4.5750402486971375e-11,1.1811674066659432,1.9744934229285231,False
B,concavity_worst,0.8038015907100149,7.118368951799602e-19,2.6042401322435333,12.198581548329148,False
B,concave points_worst,0.9895888632867375,0.028798062808039464,0.2680939284137529,-0.1181314963920963,False
B,symmetry_worst,0.9937675249433078,0.2418023817983883,0.2394088344015566,0.2512183485286741,True
B,fractal_dimension_worst,0.9059679916524228,7.859926677760348e-13,1.453081179942512,3.4581587915823846,False
M,radius_mean,0.9751475031960436,0.0015914164337311476,0.5574898768357963,0.5919885004011003,False
M,texture_mean,0.9646440952764214,9.323787958536653e-05,0.7459420850799683,2.6842677434249316,False
M,perimeter_mean,0.9685034993441497,0.00023811807833804422,0.669307572754171,0.8438314974586762,False
M,area_mean,0.9249055025174698,2.0115001981165666e-08,1.2216324814743378,2.7586764955283787,False
M,smoothness_mean,0.9823325315419491,0.015592471200240534,0.5206978719387482,0.4002855797441063,False
M,compactness_mean,0.956449690505336,1.1266065371543951e-05,0.8473937851292735,0.8807996810034839,False
M,concavity_mean,0.9487537281937468,2.10735552982832e-06,0.9432981785028082,1.2639770109551112,False
M,concave points_mean,0.9554433230957148,9.376677429205804e-06,0.8013115761579089,0.8962841310572793,False
M,symmetry_mean,0.9616145911760684,4.128150154385888e-05,0.8526339473148461,1.3698703265197327,False
M,fractal_dimension_mean,0.9477670530101753,1.6133126732087904e-06,0.9311013140893255,1.3914508924843272,False
M,radius_se,0.8023386419598357,6.1356312349867034e-15,2.62537033397148,12.489784444782632,False
M,texture_se,0.8945849859157841,1.9619209616289204e-10,1.5701253801378956,4.03027585039775,False
M,perimeter_se,0.7688826224766632,3.4459437805394646e-16,2.914372815373153,14.34503257438885,False
M,area_se,0.6358647772188422,3.8697378398255403e-20,4.438072284376765,28.793154445531492,False
M,smoothness_se,0.7214246286481211,1.0427908918784315e-17,3.8864151117252086,25.862969955958906,False
M,compactness_se,0.8568435139206909,1.7026366825587136e-12,1.8449030702362192,5.258008527691645,False
M,concavity_se,0.8718331667324347,1.001072130274532e-11,1.6399982067805694,3.615157634692621,False
M,concave points_se,0.9006536293549154,5.016912352063588e-10,1.525739970493071,3.963069849424608,False
M,symmetry_se,0.7436506898336365,4.766794689885754e-17,2.4416701050463216,7.258205899122755,False
M,fractal_dimension_se,0.8640778494044458,3.618126191959527e-12,1.6988591970897207,3.8899477433033613,False
M,radius_worst,0.9700914599909358,0.00036916785001726133,0.6717840206297689,0.4617884484991919,False
M,texture_worst,0.9761815172367586,0.0021730884112838886,0.5314696752463112,1.2719088795631164,False
M,perimeter_worst,0.9640648184130083,7.333059868650615e-05,0.787327174662159,0.7983141290274571,False
M,area_worst,0.9073212891271965,1.1634188148207333e-09,1.3819520850989213,2.9567633975335195,False
M,smoothness_worst,0.9844712457914576,0.030800016663112464,0.4278361187203192,0.8210184576423907,False
M,compactness_worst,0.9430371517613735,6.381981254087973e-07,1.0289123360630472,1.5909797374743322,False
M,concavity_worst,0.9681967169028122,0.00021901226123864666,0.6851140762936524,0.6105650426095139,False
M,concave points_worst,0.9929589109849856,0.4792023659074801,-0.08901655986168819,0.21694765903481938,True
M,symmetry_worst,0.9291982984610114,4.2870573105975846e-08,1.1483409183083781,2.3834793311728344,False
M,fractal_dimension_worst,0.9180959946022264,6.836338210686355e-09,1.408825488043717,4.1723430301363535,False
